等级,职业功能,工作内容,技能要求,课程内容,课堂学时,表现方法,时长（秒）
,,,,"（7）手工钨极氩弧焊设备工机具安全检查
①焊机安全检查
②供气系统安全检查
③冷却系统安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,180
,,,,"（8）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,240
,,,,"（9）工作环境安全检查
①高空安全防护
②通风和消防",,,120
,,,7.1.2 坡口准备及定位,"（10）材料准备
①焊接材料准备
②焊件准备",,,
,,,,"（11）焊前清理
①清理范围
②清理方法",,,
,,,,,,操作+PPT+讲解,
,,,,（12）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,60
,,,,,,,300
,,,,,,,120
,,,,,,,60
,,,,（13）工件组对和定位焊,,PPT＋讲解,240
,,,7.1.3 预留反变形量,"（14）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,
,,7.2 焊接操作,,,,PPT＋讲解,300
,,7.2 焊接操作,7.2.1 焊接参数选择,（15）焊接参数确认与调节,,,
,,,7.2.2 焊接过程操作,（16）手工钨极氩弧焊安全操作规程,,操作＋讲解,480
,,,,"（17）焊接
①打底层的焊接
②盖面层的焊接",,PPT＋讲解,120
,,,,"（18）手工钨极氩弧焊基本操作要领
①焊接姿势
②手工钨极氩弧焊引弧
③手工钨极氩弧焊送丝
④手工钨极氩弧焊焊接
⑤手工钨极氩弧焊收弧",,,
,,7.3 焊后检查,7.3.1 接头表面清理,"（19）焊后清理
①清理要求
②清理内容",,操作+讲解,120
,,,7.3.2 焊后质量自检,"（20）焊接外观质量检查
①检查项目
②检查工机具
③检查方法",,,
,"8.低碳钢或低合金钢板对接平焊手工钨极氩弧焊
",8.1 焊前准备,8.1.1 安全检查,（1）手工钨极氩弧焊常用工机具,,操作+讲解,240
,,,,"（2）手工钨极氩弧焊常用夹具
①拉紧器     
②管口钳",,,
,,,,"（3）手工钨极氩弧焊设备工机具安全检查
①焊机安全检查
②供气系统安全检查
③冷却系统安全检查
④角磨机、直磨机安全检查
⑤夹具安全检查",,,
,,,,"（4）劳动保护用品检查
①面罩和护目镜
②工作服和工作鞋
③耳塞等",,,
,,,,"（5）工作环境安全检查
①高空安全防护
②通风和消防",,,
,,,,,,,180
,,,8.1.2 坡口准备及定位,"（6）材料准备
①焊接材料准备
②焊件准备",,,240
,,,,"（7）焊前清理
①清理范围
②清理方法",,,120
,,,,（8）坡口准备                                                                                                                                                                            ①坡口形式及坡口尺寸                                      ②坡口备制                                            ③坡口清理,,,
,,,,,,操作+PPT+讲解,
,,,,（9）工件组对和定位焊,,,60
,,,8.1.3 预留反变形量,"（10）焊接变形和应力控制
①预防和矫正焊接变形的方法及措施
②控制和减少焊接应力的方法和措施",,,300
,,,,,,,120
,,,,,,,60
